2.040000000000000000e+02,1.020000000000000000e+02,5.100000000000000000e+01
2.600000000000000000e+01,0.000000000000000000e+00,1.040000000000000000e+02
2.400000000000000000e+01,8.100000000000000000e+01,4.400000000000000000e+01
1.900000000000000000e+02,2.420000000000000000e+02,1.280000000000000000e+02
1.530000000000000000e+02,1.530000000000000000e+02,0.000000000000000000e+00
2.400000000000000000e+02,2.250000000000000000e+02,1.500000000000000000e+01
2.130000000000000000e+02,4.000000000000000000e+00,2.150000000000000000e+02
1.530000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.820000000000000000e+02,1.760000000000000000e+02,1.450000000000000000e+02
1.960000000000000000e+02,2.030000000000000000e+02,1.040000000000000000e+02
